Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"201,00",,,"201,00","0,00",0,0,0
29.12.2014,"201,00",,,"201,00","0,00",0,0,0
26.12.2014,"201,00",,,"201,00","0,00",0,0,0
25.12.2014,"201,00",,,"201,00","0,00",0,0,0
24.12.2014,"201,00",,,"201,00","0,00",0,0,0
23.12.2014,"201,00",,,"201,00","0,00",0,0,0
22.12.2014,"201,00",,,"201,00","0,00",0,0,0
19.12.2014,"201,00",,,"201,00","0,00",0,0,0
18.12.2014,"201,00",,,"201,00","0,00",0,0,0
17.12.2014,"201,00",,,"201,00","0,00",0,0,0
16.12.2014,"201,00",,,"201,00","0,00",0,0,0
15.12.2014,"201,00",,,"201,00","0,00",0,0,0
12.12.2014,"201,00",,,"201,00","0,00",0,0,0
11.12.2014,"201,00",,,"201,00","0,00",0,0,0
10.12.2014,"201,00",,,"201,00","0,00",0,0,0
09.12.2014,"201,00",,,"201,00","0,00",0,0,0
05.12.2014,"201,00",,,"201,00","0,00",0,0,0
04.12.2014,"201,00",,,"201,00","0,00",0,0,0
02.12.2014,"201,00",,,"201,00","0,00",0,0,0
01.12.2014,"201,00",,,"201,00","0,00",0,0,0
28.11.2014,"201,00",,,"201,00","0,00",0,0,0
27.11.2014,"201,00",,,"201,00","0,00",0,0,0
26.11.2014,"201,00",,,"201,00","0,00",0,0,0
25.11.2014,"201,00",,,"201,00","0,00",0,0,0
24.11.2014,"201,00",,,"201,00","0,00",0,0,0
21.11.2014,"201,00",,,"201,00","0,00",0,0,0
20.11.2014,"201,00",,,"201,00","0,00",0,0,0
19.11.2014,"201,00",,,"201,00","0,00",0,0,0
18.11.2014,"201,00",,,"201,00","0,00",0,0,0
17.11.2014,"201,00",,,"201,00","0,00",0,0,0
14.11.2014,"201,00",,,"201,00","0,00",0,0,0
13.11.2014,"201,00",,,"201,00","0,00",0,0,0
12.11.2014,"201,00",,,"201,00","0,00",0,0,0
11.11.2014,"201,00",,,"201,00","0,00",0,0,0
10.11.2014,"201,00",,,"201,00","0,00",0,0,0
07.11.2014,"201,00",,,"201,00","0,00",0,0,0
06.11.2014,"201,00",,,"201,00","0,00",0,0,0
05.11.2014,"201,00",,,"201,00","0,00",0,0,0
04.11.2014,"201,00",,,"201,00","0,00",0,0,0
03.11.2014,"201,00",,,"201,00","0,00",0,0,0
31.10.2014,"201,00",,,"201,00","0,00",0,0,0
30.10.2014,"201,00",,,"201,00","0,00",0,0,0
29.10.2014,"201,00",,,"201,00","0,00",0,0,0
28.10.2014,"201,00",,,"201,00","0,00",0,0,0
27.10.2014,"201,00",,,"201,00","0,00",0,0,0
24.10.2014,"201,00",,,"201,00","0,00",0,0,0
22.10.2014,"201,00",,,"201,00","0,00",0,0,0
21.10.2014,"201,00",,,"201,00","0,00",0,0,0
20.10.2014,"201,00",,,"201,00","0,00",0,0,0
17.10.2014,"201,00",,,"201,00","0,00",0,0,0
16.10.2014,"201,00",,,"201,00","0,00",0,0,0
15.10.2014,"201,00",,,"201,00","0,00",0,0,0
14.10.2014,"201,00",,,"201,00","0,00",0,0,0
13.10.2014,"201,00",,,"201,00","0,00",0,0,0
10.10.2014,"201,00",,,"201,00","0,00",0,0,0
09.10.2014,"201,00",,,"201,00","0,00",0,0,0
08.10.2014,"201,00",,,"201,00","0,00",0,0,0
07.10.2014,"201,00",,,"201,00","0,00",0,0,0
06.10.2014,"201,00",,,"201,00","0,00",0,0,0
03.10.2014,"201,00",,,"201,00","0,00",0,0,0
02.10.2014,"201,00",,,"201,00","0,00",0,0,0
01.10.2014,"201,00",,,"201,00","0,00",0,0,0
30.9.2014,"201,00",,,"201,00","0,00",0,0,0
29.9.2014,"201,00",,,"201,00","0,00",0,0,0
26.9.2014,"201,00",,,"201,00","0,00",0,0,0
25.9.2014,"201,00",,,"201,00","0,00",0,0,0
24.9.2014,"201,00",,,"201,00","0,00",0,0,0
23.9.2014,"201,00",,,"201,00","0,00",0,0,0
22.9.2014,"201,00",,,"201,00","0,00",0,0,0
19.9.2014,"201,00",,,"201,00","0,00",0,0,0
18.9.2014,"201,00",,,"201,00","0,00",0,0,0
17.9.2014,"201,00",,,"201,00","0,00",0,0,0
16.9.2014,"201,00",,,"201,00","0,00",0,0,0
15.9.2014,"201,00",,,"201,00","0,00",0,0,0
12.9.2014,"201,00",,,"201,00","0,00",0,0,0
11.9.2014,"201,00",,,"201,00","0,00",0,0,0
10.9.2014,"201,00",,,"201,00","0,00",0,0,0
09.9.2014,"201,00",,,"201,00","0,00",0,0,0
05.9.2014,"201,00",,,"201,00","0,00",0,0,0
04.9.2014,"201,00",,,"201,00","0,00",0,0,0
03.9.2014,"201,00",,,"201,00","0,00",0,0,0
02.9.2014,"201,00",,,"201,00","0,00",0,0,0
01.9.2014,"201,00",,,"201,00","0,00",0,0,0
29.8.2014,"201,00",,,"201,00","0,00",0,0,0
27.8.2014,"201,00",,,"201,00","0,00",0,0,0
26.8.2014,"201,00",,,"201,00","0,00",0,0,0
25.8.2014,"201,00",,,"201,00","0,00",0,0,0
22.8.2014,"201,00",,,"201,00","0,00",0,0,0
21.8.2014,"201,00",,,"201,00","0,00",0,0,0
20.8.2014,"201,00",,,"201,00","0,00",0,0,0
19.8.2014,"201,00",,,"201,00","0,00",0,0,0
18.8.2014,"201,00",,,"201,00","0,00",0,0,0
15.8.2014,"201,00",,,"201,00","0,00",0,0,0
14.8.2014,"201,00",,,"201,00","0,00",0,0,0
13.8.2014,"201,00",,,"201,00","0,00",0,0,0
12.8.2014,"201,00",,,"201,00","0,00",0,0,0
11.8.2014,"201,00",,,"201,00","0,00",0,0,0
08.8.2014,"201,00",,,"201,00","0,00",0,0,0
07.8.2014,"201,00",,,"201,00","0,00",0,0,0
06.8.2014,"201,00",,,"201,00","0,00",0,0,0
05.8.2014,"201,00",,,"201,00","0,00",0,0,0
04.8.2014,"201,00",,,"201,00","0,00",0,0,0
01.8.2014,"201,00",,,"201,00","0,00",0,0,0
31.7.2014,"201,00",,,"201,00","0,00",0,0,0
30.7.2014,"201,00",,,"201,00","0,00",0,0,0
29.7.2014,"201,00",,,"201,00","0,00",0,0,0
25.7.2014,"201,00",,,"201,00","0,00",0,0,0
24.7.2014,"201,00",,,"201,00","0,00",0,0,0
23.7.2014,"201,00",,,"201,00","0,00",0,0,0
22.7.2014,"201,00",,,"201,00","0,00",0,0,0
21.7.2014,"201,00",,,"201,00","0,00",0,0,0
18.7.2014,"201,00",,,"201,00","0,00",0,0,0
17.7.2014,"201,00",,,"201,00","0,00",0,0,0
16.7.2014,"201,00",,,"201,00","0,00",0,0,0
15.7.2014,"201,00",,,"201,00","0,00",0,0,0
14.7.2014,"201,00",,,"201,00","0,00",0,0,0
11.7.2014,"201,00",,,"201,00","0,00",0,0,0
10.7.2014,"201,00",,,"201,00","0,00",0,0,0
09.7.2014,"201,00",,,"201,00","0,00",0,0,0
08.7.2014,"201,00",,,"201,00","0,00",0,0,0
07.7.2014,"201,00",,,"201,00","0,00",0,0,0
04.7.2014,"201,00","201,00","201,00","201,00","0,50",14,2.814,2.814
03.7.2014,"200,00",,,"200,00","0,00",0,0,0
02.7.2014,"200,00",,,"200,00","0,00",0,0,0
01.7.2014,"200,00",,,"200,00","0,00",0,0,0
30.6.2014,"200,00",,,"200,00","0,00",0,0,0
27.6.2014,"200,00",,,"200,00","0,00",0,0,0
26.6.2014,"200,00",,,"200,00","0,00",0,0,0
25.6.2014,"200,00",,,"200,00","0,00",0,0,0
24.6.2014,"200,00",,,"200,00","0,00",0,0,0
23.6.2014,"200,00",,,"200,00","0,00",0,0,0
20.6.2014,"200,00",,,"200,00","0,00",0,0,0
19.6.2014,"200,00",,,"200,00","0,00",0,0,0
18.6.2014,"200,00",,,"200,00","0,00",0,0,0
17.6.2014,"200,00",,,"200,00","0,00",0,0,0
16.6.2014,"200,00",,,"200,00","0,00",0,0,0
13.6.2014,"200,00",,,"200,00","0,00",0,0,0
12.6.2014,"200,00",,,"200,00","0,00",0,0,0
11.6.2014,"200,00",,,"200,00","0,00",0,0,0
10.6.2014,"200,00",,,"200,00","0,00",0,0,0
09.6.2014,"200,00",,,"200,00","0,00",0,0,0
05.6.2014,"200,00",,,"200,00","0,00",0,0,0
04.6.2014,"200,00",,,"200,00","0,00",0,0,0
03.6.2014,"200,00",,,"200,00","0,00",0,0,0
02.6.2014,"200,00",,,"200,00","0,00",0,0,0
30.5.2014,"200,00",,,"200,00","0,00",0,0,0
29.5.2014,"200,00",,,"200,00","0,00",0,0,0
